These files are part of the Microsoft Software Development Kit for Microsoft Windows for Pocket PC 2002 (the “SDK”).  Please refer to the End-User License for the SDK for your rights to use these files.  ,,

TZ Index,UTC,Description
0,-12:00,"Dateline Standard Time : (GMT-12:00) Eniwetok, Kwajalein"
1,-11:00,"Samoa Standard Time : (GMT-11:00) Midway Island, Samoa"
2,-10:00,Hawaiian Standard Time : (GMT-10:00) Hawaii
3,-09:00,Alaskan Standard Time : (GMT-09:00) Alaska
4,-08:00,Pacific Standard Time : (GMT-08:00) Pacific Time (US & Canada); Tijuana
10,-07:00,Mountain Standard Time : (GMT-07:00) Mountain Time (US & Canada)
15,-07:00,US Mountain Standard Time : (GMT-07:00) Arizona
20,-06:00,Central Standard Time : (GMT-06:00) Central Time (US & Canada)
25,-06:00,Canada Central Standard Time : (GMT-06:00) Saskatchewan
28,-06:00,Central America Standard Time : (GMT-06:00) Central America
30,-06:00,Mexico Standard Time : (GMT-06:00) Mexico City
35,-05:00,Eastern Standard Time : (GMT-05:00) Eastern Time (US & Canada)
40,-05:00,US Eastern Standard Time : (GMT-05:00) Indiana (East)
45,-05:00,"SA Pacific Standard Time : (GMT-05:00) Bogota, Lima,Quito"
50,-04:00,Atlantic Standard Time : (GMT-04:00) Atlantic Time (Canada)
55,-04:00,"SA Western Standard Time : (GMT-04:00) Caracas, La Paz"
56,-04:00,Pacific SA Standard Time : (GMT-04:00) Santiago
60,-03:30,Newfoundland Standard Time : (GMT-03:30) Newfoundland
63,-03:00,Greenland Standard Time : (GMT-03:00) Greenland
65,-03:00,E. South America Standard Time : (GMT-03:00) Brasilia
70,-03:00,"SA Eastern Standard Time : (GMT-03:00) Buenos Aires, Georgetown"
75,-02:00,Mid-Atlantic Standard Time : (GMT-02:00) Mid-Atlantic
77,-01:00,Cape Verde Standard Time : (GMT-01:00) Cape Verde Is.
80,-01:00,Azores Standard Time : (GMT-01:00) Cape Verde Is.
85,-00:00,"GMT : (GMT) Greenwich Mean Time; Dublin, Edinburgh, Lisbon, London"
90,-00:00,"GMT Standard Time : (GMT) Monrovia, Casablanca"
93,+01:00,West Central Africa Standard Time : (GMT+01:00) West Central Africa
95,+01:00,"Central Europe Standard Time : (GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague"
100,+01:00,"Central European Standard Time : (GMT+01:00) Sarajevo, Skopje, Sofjia, Vilnius, Warsaw, Zagreb"
105,+01:00,"Romance Standard Time : (GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
110,+01:00,"W. Europe Standard Time : (GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
115,+02:00,E. Europe Standard Time : (GMT+02:00) Bucharest
120,+02:00,Egypt Standard Time : (GMT+02:00) Cairo
125,+02:00,"FLE Standard Time : (GMT+02:00) Helsinki, Riga, Tallinn"
130,+02:00,"GTB Standard Time : (GMT+02:00) Athens, Istanbul, Minsk"
135,+02:00,Israel Standard Time : (GMT+02:00) Jerusalem
140,+02:00,"South Africa Standard Time : (GMT+02:00) Harare, Pretoria"
145,+03:00,"Russian Standard Time : (GMT+03:00) Moscow, St. Petersburg, Volgograd"
150,+03:00,"Arab Standard Time : (GMT+03:00) Kuwait, Riyadh"
153,+03:00,Arabic Standard Time : (GMT+03:00) Baghdad
155,+03:00,East Africa Standard Time : (GMT+03:00) Nairobi
160,+03:30,Iran Standard Time : (GMT+03:30) Tehran
165,+04:00,"Arabian Standard Time : (GMT+04:00) Abu Dhabi, Muscat"
170,+04:00,"Caucasus Standard Time : (GMT+04:00) Baku, Tbilisi, Yerevan"
175,+04:30,Afghanistan Standard Time : (GMT+04:30) Kabul
180,+05:00,Yekaterinburg Standard Time : (GMT+04:00) Yekaterinburg
